,LavatoryID,Description,City,Street,opening_hours,street_address,PostalCode,Country,Longitude,Latitude,isOwnedByWall,isHandicappedAccessible,Price,canBePayedWithCoins,canBePayedInApp,canBePayedWithNFC,hasChangingTable,LabelID,hasUrinal,ratings,Comments
227,Wall_123495,"Wall CT, Barnetstr.",Berlin,Barnetstr. ggü. 54 (0-24 Uhr),0:00-24:00,Barnetstr. ggü. 54 ,12305,Deutschland,13.3961246058486,52.3969145123976,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,30,
147,Wall_122524,"Wall CT, S-Bhf. Friedrichshagen, Dahlwitzer Landstr.",Berlin,"S-Bhf. Friedrichshagen, Dahlwitzer Landstr.   (0-24 Uhr)",0:00-24:00,"S-Bhf. Friedrichshagen, Dahlwitzer Landstr.   ",12587,Deutschland,13.62535,52.457726,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,30,
234,Wall_123502,"Wall CT, Bosepark, Manteuffelstr.",Berlin,"Bosepark, Manteuffelstr. ggü. 9 (0-24 Uhr)",0:00-24:00,"Bosepark, Manteuffelstr. ggü. 9 ",12103,Deutschland,13.377623,52.463965,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,30,
237,Wall_123562,"Wall CT, Alt-Gatow",Berlin,Alt-Gatow hinter 65 (0-24 Uhr),0:00-24:00,Alt-Gatow hinter 65 ,14089,Deutschland,13.1835823788549,52.4839311125327,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,30,
221,Wall_123484,"Wall CT, Viktoriapark, Kreuzbergstr.",Berlin,"Viktoriapark, Kreuzbergstr. ggü. 31 (0-24 Uhr)",0:00-24:00,"Viktoriapark, Kreuzbergstr. ggü. 31 ",10965,Deutschland,13.3775997545708,52.4893568193436,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,30,
211,Wall_123394,"Wall CT, Hauptstr.",Berlin,Hauptstr. ggü. 44A (0-24 Uhr),0:00-24:00,Hauptstr. ggü. 44A ,13055,Deutschland,13.5052929214559,52.5486516611904,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,30,
205,Wall_123376,"Wall CT, S-Bhf. Mahlsdorf, Hönower Str.",Berlin,"S-Bhf. Mahlsdorf, Hönower Str. ggü. 79 (0-24 Uhr)",0:00-24:00,"S-Bhf. Mahlsdorf, Hönower Str. ggü. 79 ",12623,Deutschland,13.6124389966236,52.5119161279725,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,30,
245,Wall_123792,"Wall CT, Schönleinstr.",Berlin,Schönleinstr. ggü. 8 (0-24 Uhr),0:00-24:00,Schönleinstr. ggü. 8 ,10967,Deutschland,13.4206793049899,52.4917661055929,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,30,
184,Wall_122820,"Wall CT, Wartburgplatz, Martin-Luther-Str.",Berlin,"Wartburgplatz, Martin-Luther-Str.   (0-24 Uhr)",0:00-24:00,"Wartburgplatz, Martin-Luther-Str.   ",10823,Deutschland,13.3453017022547,52.4879542644958,Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,30,
169,Wall_122589,"Wall CT, Klausenerplatz",Berlin,Klausenerplatz ggü. 23 (0-24 Uhr),0:00-24:00,Klausenerplatz ggü. 23 ,14059,Deutschland,13.290356505,52.51879627,Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,30,
