,LavatoryID,Description,City,Street,PostalCode,Country,Longitude,Latitude,isOwnedByWall,isHandicappedAccessible,Price,canBePayedWithCoins,canBePayedInApp,canBePayedWithNFC,hasChangingTable,LabelID,hasUrinal,address,timings,opening_hour,closing_hour,opening_hours
3,Wall_101003,Toilette Ottmachauer Steig (oberhalb Badestelle Ostufer),Berlin,"Krumme Lanke, Quermatenweg   (0-24 Uhr)",14109,Deutschland,"13,240574813","52,453581173",Yes,No,"0,00",No,No,No,No/Unknown,weitere ÖTs (z.B. Sanitärcontainer),No,"Krumme Lanke, Quermatenweg   ",0-24,0,24,0:00-24:00
4,Wall_112911,Toilette Uferweg ,Berlin,"Schlachtensee , Am Schlachtensee ggü. 145  (0-24 Uhr)",14129,Deutschland,"13,1992287644287","52,4365068880875",Yes,No,"0,00",No,No,No,No/Unknown,weitere ÖTs (z.B. Sanitärcontainer),No,"Schlachtensee , Am Schlachtensee ggü. 145  ",0-24,0,24,0:00-24:00
5,Wall_115753,Toilette Am Kiesteich 50,Berlin,Spektepark   (0-24 Uhr),13589,Deutschland,"13,1648593254089","52,5488398803196",Yes,No,"0,00",No,No,No,No/Unknown,weitere ÖTs (z.B. Sanitärcontainer),No,Spektepark   ,0-24,0,24,0:00-24:00
6,Wall_116738,"Wall CT, Hubertusdamm",Berlin,Hubertusdamm ggü. 7 (0-24 Uhr),13125,Deutschland,"13,4711982596938","52,615670613826",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,Hubertusdamm ggü. 7 ,0-24,0,24,0:00-24:00
7,Wall_116739,"Wall CT, Lindenufer",Berlin,Lindenufer ggü. 10 (0-24 Uhr),13597,Deutschland,"13,2077640060379","52,537351114776",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,Lindenufer ggü. 10 ,0-24,0,24,0:00-24:00
8,Wall_116747,"Wall CT, Dubliner Str.",Berlin,Dubliner Str.   (0-24 Uhr),13349,Deutschland,"13,3467597533333","52,5605417184784",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,Dubliner Str.   ,0-24,0,24,0:00-24:00
9,Wall_116752,"Wall CT, Friedhof Eythstr., Eythst.",Berlin,"Friedhof Eythstr., Eythst. 1-25 (7-19 Uhr)",12105,Deutschland,"13,3664741598498","52,459607642313",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,"Friedhof Eythstr., Eythst. 1-25 ",7-19,7,19,7:00-19:00
10,Wall_118285,"Wall CT, Weberwiese, Marchlewskistr.",Berlin,"Weberwiese, Marchlewskistr. ggü. 16 (0-24 Uhr)",10243,Deutschland,"13,4427793052511","52,5160934953208",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,Yes,"Weberwiese, Marchlewskistr. ggü. 16 ",0-24,0,24,0:00-24:00
11,Wall_118286,"Wall CT, Simplonstr.",Berlin,Simplonstr.   (0-24 Uhr),10245,Deutschland,"13,4655841638968","52,5045811099071",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,Simplonstr.   ,0-24,0,24,0:00-24:00
12,Wall_118295,"Wall CT, Besselpark, Besselstr.",Berlin,"Besselpark, Besselstr.   (0-24 Uhr)",10969,Deutschland,"13,391282801748","52,5041142935016",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,Yes,"Besselpark, Besselstr.   ",0-24,0,24,0:00-24:00
13,Wall_11952,Toilette Rüdesheimer Str.,Berlin,Rüdesheimer Platz 6 (0-24 Uhr),14197,Deutschland,"13,314755","52,473363",Yes,No,"0,00",No,No,No,No/Unknown,Café Achteck,No,Rüdesheimer Platz 6 ,0-24,0,24,0:00-24:00
14,Wall_11953,Toilette Leuthener Str.,Berlin,"Leuthener Platz , Naumannstr. (0-24 Uhr)",10829,Deutschland,"13,363288","52,481146",Yes,No,"0,00",No,No,No,No/Unknown,Café Achteck,No,"Leuthener Platz , Naumannstr. ",0-24,0,24,0:00-24:00
15,Wall_119670,Toilette Bulgarische Str.,Berlin,"Treptower Park, Weltspielplatz/Alt-Treptow   (7-22 Uhr)",12435,Deutschland,"13,4800560474389","52,4855187228924",Yes,No,"0,50",No,No,No,No/Unknown,weitere ÖTs (z.B. Sanitärcontainer),No,"Treptower Park, Weltspielplatz/Alt-Treptow   ",7-22,7,22,7:00-22:00
16,Wall_119671,Toilette  ,Berlin,"S Bhf. Treptower Park, Stern und Kreisschiffahrt/Puschkinallee 15  (7-22 Uhr)",12435,Deutschland,"13,4633458852759","52,4934218571887",Yes,No,"0,50",No,No,No,No/Unknown,weitere ÖTs (z.B. Sanitärcontainer),No,"S Bhf. Treptower Park, Stern und Kreisschiffahrt/Puschkinallee 15  ",7-22,7,22,7:00-22:00
17,Wall_119989,"Wall CT, Pestalozzistr.",Berlin,Pestalozzistr. 77 (0-24 Uhr),10627,Deutschland,"13,306683","52,5078805",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,Pestalozzistr. 77 ,0-24,0,24,0:00-24:00
18,Wall_119990,"Wall CT, Preußenallee",Berlin,Preußenallee (0-24 Uhr),14052,Deutschland,"13,2601504282416","52,5161478405709",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,Preußenallee ,0-24,0,24,0:00-24:00
19,Wall_119991,"Wall CT, Hochmeisterplatz, Westfälische Str.",Berlin,"Hochmeisterplatz, Westfälische Str. ggü. 70 (0-24 Uhr)",10709,Deutschland,"13,299396643694","52,4952979658526",Yes,Yes,"0,50",Yes,Yes,Yes,Yes,Berliner Toilette,No,"Hochmeisterplatz, Westfälische Str. ggü. 70 ",0-24,0,24,0:00-24:00
20,Wall_119992,"Wall CT, Humboldthain, Gustav-Meyer-Allee",Berlin,"Humboldthain, Gustav-Meyer-Allee   (0-24 Uhr)",13355,Deutschland,"13,3905134110447","52,5447483688373",Yes,Yes,"0,50",Yes,Yes,Yes,No/Unknown,Berliner Toilette,No,"Humboldthain, Gustav-Meyer-Allee   ",0-24,0,24,0:00-24:00
